details,prix,adresse,image_lien
Lapins,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4336471_uploaded_image1_1692120444.jpg
Lapereaux ,10 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4333705_uploaded_image1_1691943760.jpg
Lapereaux,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4324644_uploaded_image1_1691345949.jpg
Poussins de chair,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4323837_uploaded_image1_1691274033.jpg
Lapin,40 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4312499_uploaded_image1_1690566200.jpg
Poules,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4302571_uploaded_image1_1689893299.jpg
Lapin,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4302356_uploaded_image1_1689878968.jpg
Lapin,15 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4298076_uploaded_image1_1689619080.jpg
Lapin,80 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg
Poussins Brahmanes ,30 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290482_uploaded_image1_1689101216.jpg
Lapin nain Loutre ,30 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4289564_uploaded_image1_1689066044.jpg
Poulets  bleu Holland ,6 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4287658_uploaded_image1_1688923156.jpg
Pigeons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4287413_uploaded_image1_1688907084.jpg
Lapins,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4287411_uploaded_image1_1688907003.jpg
Pigeon Messager,25 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4286623_uploaded_image1_1688830929.jpg
Poulets de chair,4 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4283570_uploaded_image1_1688648209.jpg
Pigeon Boulan,15 000CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_4277905_uploaded_image1_1688318584.jpg
Pigeon Boulan,45 000CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_4277890_uploaded_image1_1688316619.jpg
Lapereaux,10 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4268955_uploaded_image1_1687603560.jpg
Lapin,30 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4268327_uploaded_image1_1687541319.jpg
Poule Bleu Hollandais,7 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4224766_uploaded_image3_1684691526.jpeg
Poussins cochin,7 500CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4255246_uploaded_image1_1686680990.jpg
Lapines ,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4249408_uploaded_image1_1686311889.jpg
Lapin californien   ,Prix sur demande,"Saly, Sénégal",https://images.coinafrique.com/thumb_4248635_uploaded_image1_1686257041.jpg
Lapereaux ,45 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4244917_uploaded_image1_1686063555.jpg
Poussins Brahmans,30 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4243414_uploaded_image1_1685971475.jpg
Pigeons Mondains,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4240446_uploaded_image1_1685727771.jpg
Lapine ,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4235319_uploaded_image1_1685440928.jpg
Lapin Gris de Touraine,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4230722_uploaded_image1_1685059185.jpg
Pigeon mondain brun ,500 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4230459_uploaded_image1_1685044108.jpg
Pigeon Tambour Allemand ,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4223933_uploaded_image1_1684609709.jpg
Pigeon voyageur,7 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4222723_uploaded_image1_1684515810.jpg
Pigeon voyageur,7 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4222721_uploaded_image1_1684515659.jpg
Poussins de chair - bleu hollandais ,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4221943_uploaded_image2_1684477934.jpeg
Coq cochin  ,45 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4218824_uploaded_image1_1684270289.jpg
Poulets brahman herminés ,135 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4212808_uploaded_image1_1683879589.jpg
Couple lapins,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4208070_uploaded_image1_1683583031.jpg
Lapin géant,50 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4207913_uploaded_image1_1683574221.jpg
Cailleteaux,250CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4205412_uploaded_image1_1683385484.jpg
Pigeons manteau opale,6 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4202860_uploaded_image1_1683234964.jpg
Pigeon,20 000CFA,"Gueule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_4198961_uploaded_image1_1683046102.jpg
Lapereau ,15 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4195833_uploaded_image3_1682867699.jpeg
Lapin metisage,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194884_uploaded_image1_1682776235.jpg
Pigeon Texan,70 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4193114_uploaded_image1_1682634328.jpg
Pigeon Padda de java,20 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4191356_uploaded_image1_1682522033.jpg
Pigeon Boulant de poméranie,20 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178981_uploaded_image1_1681650331.jpg
Pigeon Boulant de poméranie,13 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178980_uploaded_image1_1681650252.jpg
Pigeons Lahore,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4177942_uploaded_image1_1681563067.jpg
Poulet de chair,3 500CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4172814_uploaded_image1_1681236734.jpg
Poule hollandais ,8 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170233_uploaded_image2_1681079258.jpeg
Pigeons,150 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4167601_uploaded_image1_1680885984.jpg
Pigeons voyageurs ,15 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4167567_uploaded_image1_1680885294.jpg
Pigeons voyageurs  manteau ,15 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4167562_uploaded_image1_1680885216.jpg
Pigeons frisés milanais,200 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165971_uploaded_image1_1680795516.jpg
Couple pigeon,10 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4159080_uploaded_image1_1680434202.jpg
Pigeons,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4158780_uploaded_image1_1680397009.jpg
Pigeons paons indiens,35 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4155195_uploaded_image1_1680182497.jpg
Poussins Inde,4 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4148722_uploaded_image1_1679757295.jpg
Lapereaux,10 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4145983_uploaded_image1_1679578952.jpg
Lapereau géant fauve,25 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4134335_uploaded_image1_1678820167.jpg
Pigeons texans,15 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4134077_uploaded_image1_1678808506.jpg
 Pigeon  Paon Indien,55 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4133025_uploaded_image1_1678744597.jpg
Pigeons Diamant Mandarin  ,30 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4130101_uploaded_image1_1678546170.jpg
Lapin,15 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4125350_uploaded_image1_1678282298.jpg
Lapereaux ,10 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4123300_uploaded_image1_1678175207.jpg
Coq Brahman ,70 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4119858_uploaded_image1_1677937311.jpg
Pigeon  Mondains ,100 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4111710_uploaded_image1_1677517472.jpg
Pigeons  voyageurs à manteau,50 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4111707_uploaded_image1_1677517375.jpg
Coq  Brahman ,43 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4107161_uploaded_image1_1677172109.jpg
Poulet  ,5 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4099353_uploaded_image1_1676660089.jpg
Poulet ,5 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4099352_uploaded_image1_1676659955.jpg
Poussins cou nu ,2 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4098076_uploaded_image1_1676582659.jpg
Lapin papillon,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4097932_uploaded_image1_1676574876.jpg
Lapin femelle Angora,20 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4088341_uploaded_image1_1675964415.jpg
Lapin,15 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4069804_uploaded_image1_1675001928.jpg
Lapin Angora,25 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4062470_uploaded_image1_1674512420.jpg
Lapin nain tête de lion,25 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4060697_uploaded_image1_1674397870.jpg
Poules pondeuses,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4055238_uploaded_image2_1674047643.jpeg
Lapereau Angora,10 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4054751_uploaded_image1_1674032700.jpg
Lapereaux,20 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4052032_uploaded_image1_1673874541.jpg
Coq Chochin,95 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050293_uploaded_image1_1673730559.jpg
Couple   Braman Cochin,95 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050206_uploaded_image1_1673726092.jpg
Poulet Braman cochin,950 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050193_uploaded_image1_1673725687.jpg
Poulets de chairs,4 000CFA,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_4044027_uploaded_image1_1673388793.jpg
Poussins de chair,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4041126_uploaded_image1_1673258391.jpg
Couple angoura,30 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4036533_uploaded_image1_1672950565.jpg
Couple pigeons voyageurs,12 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4034954_uploaded_image1_1672875776.jpg
Couple voyageur blanc,15 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4034942_uploaded_image1_1672874900.jpg
Perruches anglaise - couple,50 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4033120_uploaded_image1_1672788351.jpg
Perruche ondulée,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4033032_uploaded_image1_1672783609.jpg
Coq Cochin ,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030997_uploaded_image1_1672682387.jpg
Coq cochin ,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030993_uploaded_image1_1672682272.jpg
Poulet de chair,3 500CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4028864_uploaded_image2_1672481470.jpeg
Poulets de chair,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4021629_uploaded_image1_1671880183.jpg
Couple texan,40 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4021335_uploaded_image1_1671837753.jpg
Couple mondain ,90 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4021333_uploaded_image1_1671837659.jpg
Couple pigeons,14 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4019501_uploaded_image1_1671719532.jpg
Pigeon,50 000CFA,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_4013190_uploaded_image1_1671298740.jpg
Lapins,30 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4012180_uploaded_image1_1671225603.jpg
Poules,35 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4012177_uploaded_image3_1671225532.jpeg
Pigeons,12 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4009110_uploaded_image1_1671058199.jpg
Couple Brahma,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4005445_uploaded_image1_1670854767.jpg
Pigeon français,25 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3999035_uploaded_image1_1670454354.jpg
Coq mal cochain,65 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3990507_uploaded_image1_1669994795.jpg
Pigeons,80 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3989311_uploaded_image1_1669935034.jpg
Pigeon Mondain,85 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3986519_uploaded_image1_1669815997.jpg
Mâle Brahma,20 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3983729_uploaded_image1_1669650251.jpg
Poussin bleu holande,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3981130_uploaded_image1_1669460038.jpg
Poussin dinde chair ,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3981127_uploaded_image1_1669459933.jpg
Pigeons Pan Indien ,30 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3958692_uploaded_image1_1668044083.jpg
Poussins,30 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_3956250_uploaded_image1_1667916487.jpg
Coq choie & bramane,50 000CFA,"Tambacounda, Sénégal",https://images.coinafrique.com/thumb_3956033_uploaded_image1_1667909977.jpg
Paire Brahma,80 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3941235_uploaded_image1_1667077382.jpg
Lapin  ,25 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3937288_uploaded_image1_1666813728.jpg
Lapin male Fauve,65 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3934536_uploaded_image1_1666646311.jpg
Pigeons  ,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3916214_uploaded_image1_1665526226.jpg
Lapin mâle engoura,20 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3911550_uploaded_image1_1665233894.jpg
Pigeon,10 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3911548_uploaded_image1_1665233800.jpg
Poussins de caille,500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3882380_uploaded_image1_1663498641.jpg
Bleues d’Hollandes,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3879030_uploaded_image1_1663241521.jpg
Poussins Bleues Hollandaises,1 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3879015_uploaded_image1_1663241115.jpg
Poulet chair,4 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3869035_uploaded_image1_1662638536.jpg
Brahmans Herminé et Cochins,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3868279_uploaded_image1_1662589600.jpg
Poussin pintade,1 500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3859176_uploaded_image1_1662124807.jpg
Pigeon   ,3 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3856165_uploaded_image1_1662024131.jpg
Pigeon voyageur ,7 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3856160_uploaded_image1_1662023975.jpg
Diamant Mandarin Huppé ,Prix sur demande,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_3841798_uploaded_image1_1661198573.jpg
Pigeons voyageurs,2 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg
Poulets ,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3820532_uploaded_image1_1659963344.jpg
Poulet de chair,3 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3820323_uploaded_image1_1659956851.jpg
Pigeons portugais espagnols,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818868_uploaded_image1_1659851735.jpg
Pigeons espagnols,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818867_uploaded_image1_1659851278.jpg
Poulets ,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3818707_uploaded_image1_1659828045.jpg
Pigeon Opal,Prix sur demande,"Saly, Sénégal",https://images.coinafrique.com/thumb_3817370_uploaded_image1_1659739915.jpg
Poulet de chair,3 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3812639_uploaded_image1_1659524524.jpg
Poulets,3 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3809817_uploaded_image1_1659394489.jpg
Femelle herminé pur sang,45 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3807013_uploaded_image1_1659264761.jpg
Poule Brahman,60 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3803369_uploaded_image1_1659011427.jpg
Poule Brahma,110 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3803358_uploaded_image2_1659010838.jpeg
Femelles Manteau Opal ,35 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3802372_uploaded_image1_1658943727.jpg
Poules ,2 800CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3799302_uploaded_image1_1658780673.jpg
Lapin nain,60 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3795801_uploaded_image1_1658525928.jpg
Poulet d'ornement,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3795149_uploaded_image1_1658494666.jpg
Poulets frais,3 500CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3749412_uploaded_image1_1655656513.jpg
Poulets Hollande ,6 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3788366_uploaded_image1_1658082013.jpg
Couple lapin nain,60 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779800_uploaded_image1_1657474190.jpg
Lapins,15 000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3778360_uploaded_image1_1657315361.jpg
Lapin,20 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3762877_uploaded_image1_1656485681.jpg
Lapins nain,30 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756850_uploaded_image1_1656080564.jpg
Poussins chair,28 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756839_uploaded_image1_1656080074.jpg
Pigeons voyageurs,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3726420_uploaded_image1_1654342685.jpg
Coq Brahmane ,45 000CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3725108_uploaded_image1_1654262429.jpg
Poulet de chair ,2 500CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3719067_uploaded_image1_1654006894.jpg
Poussins,Prix sur demande,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3717493_uploaded_image1_1653911809.jpg
Poussins,27 500CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3713086_uploaded_image1_1653586071.jpg
Poussins 1 jour,25 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3712620_uploaded_image1_1653566057.jpg
Poule,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3707531_uploaded_image1_1653273003.jpg
Coq Brahma,50 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3701284_uploaded_image1_1652878050.jpg
Poule Brahmâ ,20 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3701283_uploaded_image1_1652877907.jpg
Pigeons,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3694574_uploaded_image1_1652451578.jpg
Pigeons,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689928_uploaded_image1_1652202348.jpg
Lapin couple,65 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3680760_uploaded_image1_1651680730.jpg
Poule couple brahman,50 000CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3680687_uploaded_image1_1651677884.jpg
Poussin,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3679061_uploaded_image1_1651594437.jpg
Couple poules Bantam ,80 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3678837_uploaded_image1_1651584122.jpg
Pigeons,50 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3675341_uploaded_image1_1651328468.jpg
Coq Brahma Perdrix,35 000CFA,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3671744_uploaded_image1_1651068700.jpg
Cochin femelle frisé,40 000CFA,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3671735_uploaded_image1_1651068448.jpg
Pigeon dragon,20 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671452_uploaded_image1_1651059347.jpg
Pigeons,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3669432_uploaded_image1_1650934782.jpg
Lapereaux ,30 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3665205_uploaded_image1_1650639265.jpg
Eclosion - 16000 poussins,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3664153_uploaded_image1_1650570771.jpg
Poule,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3663076_uploaded_image1_1650514068.jpg
Pigeons,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3659941_uploaded_image1_1650357667.jpg
Pigeon ,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3659931_uploaded_image1_1650357026.jpg
Pigeon voyageur,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3659922_uploaded_image1_1650356719.jpg
Poussins ,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3658331_uploaded_image1_1650244788.jpg
Lapins,15 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3624677_uploaded_image1_1648325393.jpg
Oiseaux,80 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3620766_uploaded_image1_1648057839.jpg
Pigeons,Prix sur demande,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3610036_uploaded_image1_1647364331.jpg
Pigeon femelle texan,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3606040_uploaded_image1_1647113482.jpg
Trio poussins Brahma,20 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3599688_uploaded_image1_1646764114.jpg
Couple poussins brahma ,20 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3595177_uploaded_image1_1646493730.jpg
Lapins nains,30 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3594110_uploaded_image1_1646425965.jpg
Coq Cochin ,80 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3589893_uploaded_image1_1646229663.jpg
Poule Cochin ,90 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3589888_uploaded_image1_1646229530.jpg
Couple Cochin ,90 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3577024_uploaded_image1_1645466016.jpg
Poulets,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3575471_uploaded_image1_1645369161.jpg
Poule  Brahma ,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3569532_uploaded_image1_1644995089.jpg
Couple de poule Brahman ,50 000CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3556200_uploaded_image1_1644096446.jpg
Oeuf poulet Brahma,2 500CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3556035_uploaded_image1_1644085287.jpg
Coq ,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3548688_uploaded_image1_1643733991.jpg
Poule pondeuse ,45 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546233_uploaded_image1_1643636475.jpg
Poussin brahman,10 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546230_uploaded_image1_1643636330.jpg
Coq Brahman,50 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546219_uploaded_image1_1643635974.jpg
Pigeons,45 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544759_uploaded_image1_1643532462.jpg
Lot de 3 pigeons,25 000CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544488_uploaded_image1_1643489629.jpg
Femelle opal rosa ,35 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3544071_uploaded_image1_1643465628.jpg
Poussins Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3543634_uploaded_image1_1643440137.jpg
Lapins nains,35 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3537679_uploaded_image1_1643058435.jpg
Couple Lapins,35 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3536316_uploaded_image1_1642949781.jpg
Coq Cochin coucou,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3530700_uploaded_image1_1642595156.jpg
Coq Cochin blanc,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3530692_uploaded_image1_1642595027.jpg
Poulet,25 003 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3529776_uploaded_image1_1642526350.jpg
Poule,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3527552_uploaded_image1_1642403544.jpg
